,id,title,aviation_prompt
110,37528453,The first week of US v. Google – Defaults are everything and nobody likes Bing,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: The first week of US v. Google – Defaults are everything and nobody likes Bing"
111,37528472,Everyday uses for PVC water pipe,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Everyday uses for PVC water pipe"
112,37528652,Birds with more complex vocal skills are better problem-solvers,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Birds with more complex vocal skills are better problem-solvers"
113,37528816,“Inverse vaccine” shows potential to treat MS and other autoimmune diseases,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: “Inverse vaccine” shows potential to treat MS and other autoimmune diseases"
114,37529197,"Airtable Lays Off 27% of Firm, Shifts Focus to Big Clients","Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Airtable Lays Off 27% of Firm, Shifts Focus to Big Clients"
115,37529284,The Early Days of American English,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: The Early Days of American English"
116,37529318,"Nearly 1 in 4 Israelis will be ultra-Orthodox by 2050, study says","Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Nearly 1 in 4 Israelis will be ultra-Orthodox by 2050, study says"
117,37529359,Johnny Cash Has Been Everywhere (Man),"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Johnny Cash Has Been Everywhere (Man)"
118,37529381,"We use TypeScript not based on preference, but because we want to make money","Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: We use TypeScript not based on preference, but because we want to make money"
119,37529459,"MDMA-assisted therapy for PTSD: A randomized, placebo-controlled phase 3 trial","Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: MDMA-assisted therapy for PTSD: A randomized, placebo-controlled phase 3 trial"
120,37529666,“Most notorious” illegal shadow library (LibGen) sued by textbook publishers,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: “Most notorious” illegal shadow library (LibGen) sued by textbook publishers"
121,37529683,Where did the Carter White House's solar panels go? (2010),"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Where did the Carter White House's solar panels go? (2010)"
122,37529908,iPhone 15 Pro with X70 modem offers up to 24% faster 5G speeds,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: iPhone 15 Pro with X70 modem offers up to 24% faster 5G speeds"
123,37530065,I rented a Tesla for a month. It was a giant pain in the a*,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: I rented a Tesla for a month. It was a giant pain in the a*"
124,37530158,Formatting text in C++: Old and new ways,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Formatting text in C++: Old and new ways"
125,37530218,Record low Antarctic sea ice coverage indicates a new sea ice state,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Record low Antarctic sea ice coverage indicates a new sea ice state"
126,37530261,Rule for Beneficial Ownership Reporting (2022),"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Rule for Beneficial Ownership Reporting (2022)"
127,37530314,Inflation in Austria,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Inflation in Austria"
